pathway_id	pathway_name	genes
168255	Influenza Infection	AAAS,CALR,CANX,CLTA,CLTC,CPSF4,DNAJC3,EIF2AK2,FAU,GRSF1,GTF2F1,GTF2F2,HA,HSP90AA1,HSPA1A,IPO5,ISG15,KPNA1,KPNA2,KPNA3,KPNA4,KPNA5,KPNA7,KPNB1,M,NA,NDC1,NP,NS,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP42,NUP43,NUP50,NUP54,NUP58,NUP62,NUP85,NUP88,NUP93,NUP98,PA,PABPN1,PARP1,PB1,PB2,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,POM121,POM121C,RAE1,RAN,RANBP2,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,SEC13,SEH1L,SLC25A6,TGFB1,TPR,UBA52,XPO1
6782861	Synthesis of wybutosine at G37 of tRNA(Phe)	LCMT2,TRMT12,TRMT5,TYW1,TYW3,TYW5
9755088	Ribavirin ADME	ADA,ADK,ITPA,NME1,NME2,NT5C2,PNP,SLC28A2,SLC28A3,SLC29A1,SLC29A3
9613829	Chaperone Mediated Autophagy	ARL13B,CETN1,CFTR,EEF1A1,GFAP,HBB,HDAC6,HSP90AA1,HSP90AB1,HSPA8,IFT88,LAMP2,PARK7,PCNT,PLIN2,PLIN3,RNASE1,RPS27A,UBA52,UBB,UBC
525793	Myogenesis	ABL1,BNIP2,BOC,CDC42,CDH15,CDH2,CDH4,CDON,CTNNA1,CTNNA2,CTNNB1,MAP2K6,MAPK11,MAPK12,MAPK14,MEF2A,MEF2B,MEF2C,MEF2D,MYF5,MYF6,MYOD1,MYOG,NEO1,NTN3,SPAG9,TCF12,TCF3,TCF4
389513	Co-inhibition by CTLA4	AKT1,AKT2,AKT3,CD80,CD86,CTLA4,FYN,LCK,LYN,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PTPN11,SRC,YES1
202131	Metabolism of nitric oxide: NOS3 activation and regulation	AKT1,CALM1,CAV1,CYB5B,CYGB,DDAH1,DNM2,HSP90AA1,LYPLA1,NMT1,NMT2,NOS3,NOSIP,NOSTRIN,SPR,WASL,ZDHHC21
6791226	Major pathway of rRNA processing in the nucleolus and cytosol	BMS1,BOP1,BYSL,C1D,CSNK1D,CSNK1E,DCAF13,DDX21,DDX47,DDX49,DDX52,DHX37,DIS3,EBNA1BP2,EMG1,ERI1,EXOSC1,EXOSC10,EXOSC2,EXOSC3,EXOSC4,EXOSC5,EXOSC6,EXOSC7,EXOSC8,EXOSC9,FAU,FBL,FCF1,FTSJ3,GNL3,HEATR1,IMP3,IMP4,ISG20L2,KRR1,LAS1L,LTV1,MPHOSPH10,MPHOSPH6,NCL,NIP7,NOB1,NOC4L,NOL11,NOL12,NOL6,NOL9,NOP14,NOP56,NOP58,PDCD11,PELP1,PES1,PNO1,PWP2,RBM28,RCL1,RIOK1,RIOK2,RIOK3,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPP14,RPP21,RPP25,RPP30,RPP38,RPP40,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,RRP1,RRP36,RRP7A,RRP9,SENP3,SKIV2L2,SNU13,TBL3,TEX10,TSR1,UBA52,UTP11,UTP14A,UTP14C,UTP15,UTP18,UTP20,UTP25,UTP3,UTP4,UTP6,WBSCR22,WDR12,WDR18,WDR3,WDR36,WDR43,WDR46,WDR75,XRN2
8878159	Transcriptional regulation by RUNX3	ADRM1,BCL2L11,BRD2,CBFB,CCND1,CDKN1A,CDKN2A,CREBBP,CTGF,CTNNB1,EP300,FOXO3,HDAC4,HES1,ITGA4,ITGAL,JAG1,KAT2A,KAT2B,KRAS,LEF1,MAML1,MAML2,MAML3,MAMLD1,MDM2,MYC,NOTCH1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,RBPJ,RORC,RPS27A,RUNX1,RUNX3,SEM1,SMAD3,SMAD4,SMURF1,SMURF2,SNW1,SPP1,SRC,TCF7,TCF7L1,TCF7L2,TEAD1,TEAD2,TEAD3,TEAD4,TGFB1,TP53,UBA52,UBB,UBC,WWTR1,YAP1,ZFHX3
9793242	SUMOylation of nuclear envelope proteins	RANGAP1,SUMO1,UBE2I
68884	Mitotic Telophase/Cytokinesis	KIF20A,KIF23,MAU2,NIPBL,PDS5A,PDS5B,PLK1,RAD21,SMC1A,SMC3,STAG1,STAG2,WAPL
112314	Neurotransmitter receptors and postsynaptic signal transmission	ACTN2,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,AKAP5,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,APBA1,ARHGEF7,ARHGEF9,CACNG2,CACNG3,CACNG4,CACNG8,CALM1,CAMK1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CASK,CHRNA1,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CHRNB3,CHRNB4,CHRND,CHRNE,CHRNG,CREB1,DLG1,DLG2,DLG3,DLG4,EPB41L1,ERBB4,GABBR1,GABBR2,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRG2,GABRG3,GABRQ,GABRR1,GABRR2,GABRR3,GIT1,GLRA1,GLRA2,GLRA3,GLRB,GNAI1,GNAI2,GNAI3,GNAL,GNAT3,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GRIA1,GRIA2,GRIA3,GRIA4,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B,GRIP1,GRIP2,HRAS,HTR3A,HTR3B,HTR3C,HTR3D,HTR3E,KCNJ10,KCNJ12,KCNJ15,KCNJ16,KCNJ2,KCNJ3,KCNJ4,KCNJ5,KCNJ6,KCNJ9,KIF17,KPNA2,KRAS,LIN7A,LIN7B,LIN7C,LRRC7,MAPK1,MAPK3,MAPT,MDM2,MYO6,NBEA,NCALD,NEFL,NPTN,NRAS,NRG1,NRGN,NSF,PDPK1,PICK1,PLCB1,PLCB2,PLCB3,PPM1E,PPM1F,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKACA,PRKACB,PRKACG,PRKAG1,PRKAG2,PRKAG3,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCB,PRKCG,PRKX,RAC1,RASGRF1,RASGRF2,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6,SRC,TSPAN7
112313	Neurotransmitter uptake and metabolism In glial cells	GLUL,SLC1A2,SLC1A3,SLC38A1
9749641	Aspirin ADME	ABCC2,ABCC3,ACSM2A,ACSM2B,ACSM4,ACSM5,ALB,BCHE,BSG,CES1,CES2,CYP2C19,CYP2C8,CYP2C9,CYP2D6,CYP2E1,CYP3A4,GLYAT,GLYATL1,GLYATL2,GLYATL3,SLC16A1,SLC22A7,SLCO2B1,UGT1A1,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,UGT3A1,UGT3A2
112311	Neurotransmitter clearance	ACHE,ALDH2,BCHE,COMT,LRTOMT,MAOA,SLC22A1,SLC22A2,SLC6A3,SLC6A4
112310	Neurotransmitter release cycle	ABAT,ALDH5A1,APBA1,ARL6IP5,CASK,CHAT,CPLX1,DNAJC5,GAD1,GAD2,GLS,GLS2,HSPA8,LIN7A,LIN7B,LIN7C,MAOA,NAAA,PPFIA1,PPFIA2,PPFIA3,PPFIA4,RAB3A,RIMS1,SLC17A7,SLC18A2,SLC18A3,SLC1A1,SLC1A2,SLC1A3,SLC1A6,SLC1A7,SLC22A1,SLC22A2,SLC32A1,SLC38A2,SLC5A7,SLC6A1,SLC6A11,SLC6A12,SLC6A13,SNAP25,STX1A,STXBP1,SYN1,SYN2,SYN3,SYT1,TSPOAP1,UNC13B,VAMP2
9818749	Regulation of NFE2L2 gene expression	CREBBP,EP300,MAFK,MYC,NFE2L2,NFKB1,NOTCH1,RELA
1461973	Defensins	ART1,CCR2,CCR6,CD4,DEFA1,DEFA3,DEFA4,DEFA5,DEFA6,DEFB1,DEFB103A,DEFB104A,DEFB105A,DEFB106A,DEFB107A,DEFB108B,DEFB108P1,DEFB109B,DEFB110,DEFB112,DEFB113,DEFB114,DEFB115,DEFB116,DEFB117,DEFB118,DEFB119,DEFB121,DEFB123,DEFB124,DEFB125,DEFB126,DEFB127,DEFB128,DEFB129,DEFB130,DEFB130B,DEFB131,DEFB132,DEFB133,DEFB134,DEFB135,DEFB136,DEFB4A,PRSS2,PRSS3,TLR1,TLR2,env
390522	Striated Muscle Contraction	ACTN2,ACTN3,DES,DMD,MYBPC1,MYBPC2,MYBPC3,MYH3,MYH6,MYH8,MYL1,MYL2,MYL3,MYL4,NEB,TCAP,TMOD1,TMOD2,TMOD3,TMOD4,TNNC1,TNNC2,TNNI1,TNNI2,TNNI3,TNNT1,TNNT2,TNNT3,TPM1,TPM2,TPM3,TPM4,TTN,VIM
166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	AGER,ALPK1,APP,ATF1,ATF2,BTK,BTRC,CASP8,CD14,CD36,CHUK,CREB1,CUL1,DUSP3,DUSP4,DUSP6,DUSP7,ECSIT,ELK1,FBXW11,FGA,FGB,FGG,FOS,HMGB1,IKBIP,IKBKB,IKBKG,IRAK1,IRAK2,IRAK3,IRAK4,JUN,LRRC14,LY96,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP2K7,MAP3K1,MAP3K7,MAP3K8,MAPK1,MAPK10,MAPK11,MAPK14,MAPK3,MAPK7,MAPK8,MAPK9,MAPKAPK2,MAPKAPK3,MEF2A,MEF2C,MYD88,N,N4BP1,NFKB1,NFKB2,NFKBIA,NFKBIB,NKIRAS1,NKIRAS2,NLRC5,NLRX1,NOD1,NOD2,PELI1,PELI2,PELI3,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,RELA,RIPK2,RPS27A,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA5,S100A1,S100A12,S100A8,S100A9,S100B,SAA1,SIGIRR,SKP1,SOCS1,TAB1,TAB2,TAB3,TIFA,TIRAP,TLR1,TLR2,TLR4,TLR6,TNIP2,TP53,TRAF2,TRAF6,UBA52,UBB,UBC,UBE2N,UBE2V1,USP14,USP18,VRK3,mip,porB
5617833	Cilium Assembly	ACTR1A,AHI1,AKAP9,ALMS1,ARF4,ARL13B,ARL3,ARL6,ASAP1,ATAT1,B9D1,B9D2,BBIP1,BBS1,BBS10,BBS12,BBS2,BBS4,BBS5,BBS7,BBS9,C2CD3,CC2D2A,CCP110,CCT2,CCT3,CCT4,CCT5,CCT8,CDK1,CDK5RAP2,CENPJ,CEP131,CEP135,CEP152,CEP162,CEP164,CEP192,CEP250,CEP290,CEP41,CEP43,CEP57,CEP63,CEP70,CEP72,CEP76,CEP78,CEP83,CEP89,CEP97,CETN2,CKAP5,CLASP1,CLUAP1,CNGA2,CNGA4,CNGB1,CNTRL,CSNK1D,CSNK1E,CYS1,DCTN1,DCTN2,DCTN3,DYNC1H1,DYNC1I2,DYNC2H1,DYNC2I1,DYNC2I2,DYNC2LI1,DYNLL1,DYNLL2,DYNLRB1,DYNLRB2,DYNLT2,DYNLT2B,DYNLT5,EXOC1,EXOC2,EXOC3,EXOC4,EXOC5,EXOC6,EXOC7,EXOC8,FBF1,GBF1,HAUS1,HAUS2,HAUS3,HAUS4,HAUS5,HAUS6,HAUS7,HAUS8,HDAC6,HSP90AA1,HSPB11,IFT122,IFT140,IFT172,IFT20,IFT22,IFT27,IFT43,IFT46,IFT52,IFT57,IFT70A,IFT70B,IFT74,IFT80,IFT81,IFT88,INPP5E,IQCB1,KIF17,KIF24,KIF3A,KIF3B,KIF3C,KIFAP3,LZTFL1,MAPRE1,MARK4,MCHR1,MKKS,MKS1,NDE1,NEDD1,NEK2,NINL,NPHP1,NPHP3,NPHP4,ODF2,OFD1,PAFAH1B1,PCM1,PCNT,PDE6D,PKD1,PKD2,PLK1,PLK4,PPP2R1A,PRKACA,PRKAR2B,RAB11A,RAB11FIP3,RAB3IP,RAB8A,RHO,RP2,RPGRIP1L,SCLT1,SDCCAG8,SEPTIN2,SFI1,SMO,SSNA1,SSTR3,TCP1,TCTN1,TCTN2,TCTN3,TMEM216,TMEM67,TNPO1,TRAF3IP1,TRIP11,TTBK2,TTC21B,TTC26,TTC8,TUBA1A,TUBA4A,TUBB,TUBB4A,TUBB4B,TUBG1,UNC119B,WDR19,WDR35,YWHAE,YWHAG
917729	Endosomal Sorting Complex Required For Transport (ESCRT)	CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP4C,CHMP5,CHMP6,CHMP7,HGS,MVB12A,MVB12B,RPS27A,SNF8,STAM,STAM2,TSG101,UBA52,UBAP1,UBB,UBC,VPS25,VPS28,VPS36,VPS37A,VPS37B,VPS37C,VPS37D,VPS4A,VPS4B,VTA1
166187	Mitochondrial Uncoupling	PM20D1,SLC25A14,SLC25A27,SLC25A4,UCP1,UCP2,UCP3
420499	Class C/3 (Metabotropic glutamate/pheromone receptors)	CASR,GABBR1,GABBR2,GPRC6A,GRM1,GRM2,GRM3,GRM4,GRM5,GRM6,GRM7,GRM8,TAS1R1,TAS1R2,TAS1R3,TAS2R1,TAS2R10,TAS2R13,TAS2R14,TAS2R16,TAS2R19,TAS2R20,TAS2R3,TAS2R30,TAS2R31,TAS2R38,TAS2R39,TAS2R4,TAS2R40,TAS2R41,TAS2R42,TAS2R43,TAS2R45,TAS2R46,TAS2R5,TAS2R50,TAS2R60,TAS2R7,TAS2R8,TAS2R9
2022090	Assembly of collagen fibrils and other multimeric structures	BMP1,CD151,COL10A1,COL11A1,COL11A2,COL15A1,COL18A1,COL1A1,COL1A2,COL24A1,COL27A1,COL2A1,COL3A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL5A1,COL5A2,COL5A3,COL6A1,COL6A2,COL6A3,COL6A5,COL6A6,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,CTSB,CTSL,CTSS,CTSV,DST,ITGA6,ITGB4,LAMA3,LAMB3,LAMC2,LOX,LOXL1,LOXL2,LOXL3,LOXL4,MMP13,MMP20,MMP3,MMP7,MMP9,PCOLCE,PLEC,PXDN,TLL1,TLL2
191273	Cholesterol biosynthesis	ACAT2,ARV1,CYP51A1,DHCR24,DHCR7,EBP,FDFT1,FDPS,GGPS1,HMGCR,HMGCS1,HSD17B7,IDI1,IDI2,LBR,LSS,MSMO1,MVD,MVK,NSDHL,PLPP6,PMVK,SC5D,SQLE,SREBF1,SREBF2,TM7SF2
9842860	Regulation of endogenous retroelements	ACTB,ACTL6A,ARID1A,ARID1B,ATF7IP,BCL7A,BCL7B,BCL7C,C19orf84,CBX5,CHD3,CHD4,DNMT3A,DNMT3L,DPF1,DPF2,DPF3,EHMT1,EHMT2,FAM208A,GATAD2A,GATAD2B,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AFX,H2AJ,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-3A,H3C15,H4C1,HDAC1,HDAC2,HIST1H3G,MBD3,MORC2,MPHOSPH8,MTA1,MTA2,MTA3,PIWIL4,PPHLN1,RBBP4,RBBP7,RBM7,SETDB1,SKIV2L2,SMARCA2,SMARCA4,SMARCB1,SMARCC1,SMARCC2,SMARCD1,SMARCD2,SMARCD3,SMARCE1,SPOCD1,SS18,SS18L1,SUMO2,TRIM28,UBE2I,ZCCHC8,ZNF136,ZNF141,ZNF224,ZNF257,ZNF264,ZNF273,ZNF28,ZNF30,ZNF317,ZNF320,ZNF324,ZNF331,ZNF33A,ZNF354A,ZNF382,ZNF418,ZNF425,ZNF454,ZNF519,ZNF534,ZNF547,ZNF610,ZNF649,ZNF669,ZNF680,ZNF708,ZNF765,ZNF778,ZNF816,ZNF93
